"FullName","Name","Parent","Depth","LastWrite","ChildDirs","ChildFiles"
"G:\Skyrim Mods\04-ArchitecturaeModularisCodex\.git",".git","G:\Skyrim Mods\04-ArchitecturaeModularisCodex","1","17/10/2025 22:52:59","5","5"
"G:\Skyrim Mods\04-ArchitecturaeModularisCodex\.git\hooks","hooks","G:\Skyrim Mods\04-ArchitecturaeModularisCodex\.git","2","03/10/2025 20:54:28","0","14"
"G:\Skyrim Mods\04-ArchitecturaeModularisCodex\.git\info","info","G:\Skyrim Mods\04-ArchitecturaeModularisCodex\.git","2","03/10/2025 20:54:28","0","1"
"G:\Skyrim Mods\04-ArchitecturaeModularisCodex\.git\logs","logs","G:\Skyrim Mods\04-ArchitecturaeModularisCodex\.git","2","03/10/2025 21:01:42","1","1"
"G:\Skyrim Mods\04-ArchitecturaeModularisCodex\.git\logs\refs","refs","G:\Skyrim Mods\04-ArchitecturaeModularisCodex\.git\logs","3","03/10/2025 21:09:58","2","0"
"G:\Skyrim Mods\04-ArchitecturaeModularisCodex\.git\logs\refs\heads","heads","G:\Skyrim Mods\04-ArchitecturaeModularisCodex\.git\logs\refs","4","03/10/2025 21:01:42","0","1"
"G:\Skyrim Mods\04-ArchitecturaeModularisCodex\.git\logs\refs\remotes","remotes","G:\Skyrim Mods\04-ArchitecturaeModularisCodex\.git\logs\refs","4","03/10/2025 21:09:58","1","0"
"G:\Skyrim Mods\04-ArchitecturaeModularisCodex\.git\logs\refs\remotes\origin","origin","G:\Skyrim Mods\04-ArchitecturaeModularisCodex\.git\logs\refs\remotes","5","03/10/2025 21:09:58","0","1"
"G:\Skyrim Mods\04-ArchitecturaeModularisCodex\.git\objects","objects","G:\Skyrim Mods\04-ArchitecturaeModularisCodex\.git","2","17/10/2025 22:52:59","202","0"
"G:\Skyrim Mods\04-ArchitecturaeModularisCodex\.git\objects\00","00","G:\Skyrim Mods\04-ArchitecturaeModularisCodex\.git\objects","3","13/10/2025 1:17:51","0","1"
"G:\Skyrim Mods\04-ArchitecturaeModularisCodex\.git\objects\01","01","G:\Skyrim Mods\04-ArchitecturaeModularisCodex\.git\objects","3","05/10/2025 1:27:09","0","3"
"G:\Skyrim Mods\04-ArchitecturaeModularisCodex\.git\objects\02","02","G:\Skyrim Mods\04-ArchitecturaeModularisCodex\.git\objects","3","14/10/2025 16:15:23","0","3"
"G:\Skyrim Mods\04-ArchitecturaeModularisCodex\.git\objects\03","03","G:\Skyrim Mods\04-ArchitecturaeModularisCodex\.git\objects","3","12/10/2025 20:46:12","0","2"
"G:\Skyrim Mods\04-ArchitecturaeModularisCodex\.git\objects\04","04","G:\Skyrim Mods\04-ArchitecturaeModularisCodex\.git\objects","3","13/10/2025 1:17:50","0","1"
"G:\Skyrim Mods\04-ArchitecturaeModularisCodex\.git\objects\05","05","G:\Skyrim Mods\04-ArchitecturaeModularisCodex\.git\objects","3","14/10/2025 16:15:27","0","3"
"G:\Skyrim Mods\04-ArchitecturaeModularisCodex\.git\objects\06","06","G:\Skyrim Mods\04-ArchitecturaeModularisCodex\.git\objects","3","16/10/2025 22:05:46","0","3"
"G:\Skyrim Mods\04-ArchitecturaeModularisCodex\.git\objects\07","07","G:\Skyrim Mods\04-ArchitecturaeModularisCodex\.git\objects","3","12/10/2025 20:57:50","0","3"
"G:\Skyrim Mods\04-ArchitecturaeModularisCodex\.git\objects\08","08","G:\Skyrim Mods\04-ArchitecturaeModularisCodex\.git\objects","3","14/10/2025 16:15:25","0","2"
"G:\Skyrim Mods\04-ArchitecturaeModularisCodex\.git\objects\0a","0a","G:\Skyrim Mods\04-ArchitecturaeModularisCodex\.git\objects","3","12/10/2025 20:57:50","0","2"
"G:\Skyrim Mods\04-ArchitecturaeModularisCodex\.git\objects\0b","0b","G:\Skyrim Mods\04-ArchitecturaeModularisCodex\.git\objects","3","05/10/2025 1:27:09","0","1"
