"FullName","Name","Parent","Depth","LastWrite","ChildDirs","ChildFiles"
"G:\Skyrim Mods\00-Tools","00-Tools","G:\Skyrim Mods","1","18/10/2025 3:41:45","7","1"
"G:\Skyrim Mods\00-Tools\BethINI","BethINI","G:\Skyrim Mods\00-Tools","2","03/10/2025 19:00:07","1","0"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone","BethINI Standalone","G:\Skyrim Mods\00-Tools\BethINI","3","04/10/2025 18:39:16","2","4"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets","Presets","G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone","4","30/04/2022 18:39:28","6","0"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout 3","Fallout 3","G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets","5","30/04/2022 18:39:28","3","2"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout 3\BethINI-Presets","BethINI-Presets","G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout 3","6","30/04/2022 18:39:28","5","0"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout 3\BethINI-Presets\high","high","G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout 3\BethINI-Presets","7","30/04/2022 18:39:28","0","2"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout 3\BethINI-Presets\low","low","G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout 3\BethINI-Presets","7","30/04/2022 18:39:28","0","2"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout 3\BethINI-Presets\medium","medium","G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout 3\BethINI-Presets","7","30/04/2022 18:39:28","0","2"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout 3\BethINI-Presets\poor","poor","G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout 3\BethINI-Presets","7","30/04/2022 18:39:28","0","2"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout 3\BethINI-Presets\ultra","ultra","G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout 3\BethINI-Presets","7","30/04/2022 18:39:28","0","2"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout 3\Default","Default","G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout 3","6","30/04/2022 18:39:28","0","1"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout 3\Vanilla-Presets","Vanilla-Presets","G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout 3","6","30/04/2022 18:39:28","4","0"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout 3\Vanilla-Presets\high","high","G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout 3\Vanilla-Presets","7","30/04/2022 18:39:28","0","2"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout 3\Vanilla-Presets\low","low","G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout 3\Vanilla-Presets","7","30/04/2022 18:39:28","0","2"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout 3\Vanilla-Presets\medium","medium","G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout 3\Vanilla-Presets","7","30/04/2022 18:39:28","0","2"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout 3\Vanilla-Presets\ultra","ultra","G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout 3\Vanilla-Presets","7","30/04/2022 18:39:28","0","2"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout 4","Fallout 4","G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets","5","30/04/2022 18:39:28","2","2"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout 4\BethINI-Presets","BethINI-Presets","G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout 4","6","30/04/2022 18:39:28","5","0"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout 4\BethINI-Presets\high","high","G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout 4\BethINI-Presets","7","30/04/2022 18:39:28","0","2"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout 4\BethINI-Presets\low","low","G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout 4\BethINI-Presets","7","30/04/2022 18:39:28","0","2"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout 4\BethINI-Presets\medium","medium","G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout 4\BethINI-Presets","7","30/04/2022 18:39:28","0","2"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout 4\BethINI-Presets\poor","poor","G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout 4\BethINI-Presets","7","30/04/2022 18:39:28","0","2"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout 4\BethINI-Presets\ultra","ultra","G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout 4\BethINI-Presets","7","30/04/2022 18:39:28","0","2"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout 4\Vanilla-Presets","Vanilla-Presets","G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout 4","6","30/04/2022 18:39:28","4","0"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout 4\Vanilla-Presets\high","high","G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout 4\Vanilla-Presets","7","30/04/2022 18:39:28","0","2"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout 4\Vanilla-Presets\low","low","G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout 4\Vanilla-Presets","7","30/04/2022 18:39:28","0","2"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout 4\Vanilla-Presets\medium","medium","G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout 4\Vanilla-Presets","7","30/04/2022 18:39:28","0","2"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout 4\Vanilla-Presets\ultra","ultra","G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout 4\Vanilla-Presets","7","30/04/2022 18:39:28","0","2"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout New Vegas","Fallout New Vegas","G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets","5","30/04/2022 18:39:28","3","2"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout New Vegas\BethINI-Presets","BethINI-Presets","G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout New Vegas","6","30/04/2022 18:39:28","5","0"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout New Vegas\BethINI-Presets\high","high","G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout New Vegas\BethINI-Presets","7","30/04/2022 18:39:28","0","2"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout New Vegas\BethINI-Presets\low","low","G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout New Vegas\BethINI-Presets","7","30/04/2022 18:39:28","0","2"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout New Vegas\BethINI-Presets\medium","medium","G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout New Vegas\BethINI-Presets","7","30/04/2022 18:39:28","0","2"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout New Vegas\BethINI-Presets\poor","poor","G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout New Vegas\BethINI-Presets","7","30/04/2022 18:39:28","0","2"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout New Vegas\BethINI-Presets\ultra","ultra","G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout New Vegas\BethINI-Presets","7","30/04/2022 18:39:28","0","2"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout New Vegas\Default","Default","G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout New Vegas","6","30/04/2022 18:39:28","0","2"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout New Vegas\Vanilla-Presets","Vanilla-Presets","G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout New Vegas","6","30/04/2022 18:39:28","4","0"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout New Vegas\Vanilla-Presets\high","high","G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout New Vegas\Vanilla-Presets","7","30/04/2022 18:39:28","0","2"
