"FullName","Kind","SizeBytes","LastWrite"
"G:\Skyrim Mods\00-Tools","Directorio","-","2025-10-04 14:04:39"
"G:\Skyrim Mods\00-Tools\BethINI","Directorio","-","2025-10-03 19:00:07"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone","Directorio","-","2025-10-04 18:39:16"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\BethINI Readme UTF-8.txt","Archivo","6669","2021-08-01 18:07:20"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\BethINI.exe","Archivo","1812480","2022-04-30 18:34:08"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\BethINI.ini","Archivo","289","2025-10-04 18:39:32"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Changelog UTF-8.txt","Archivo","37616","2022-04-30 18:40:56"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets","Directorio","-","2022-04-30 18:39:28"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout 3","Directorio","-","2022-04-30 18:39:28"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout 3\BethINI-Presets","Directorio","-","2022-04-30 18:39:28"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout 3\BethINI-Presets\high","Directorio","-","2022-04-30 18:39:28"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout 3\BethINI-Presets\high\Fallout.ini","Archivo","367","2022-02-27 00:12:08"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout 3\BethINI-Presets\high\FalloutPrefs.ini","Archivo","997","2022-02-24 00:01:46"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout 3\BethINI-Presets\low","Directorio","-","2022-04-30 18:39:28"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout 3\BethINI-Presets\low\Fallout.ini","Archivo","364","2022-02-27 00:12:24"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout 3\BethINI-Presets\low\FalloutPrefs.ini","Archivo","969","2022-02-24 00:04:02"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout 3\BethINI-Presets\medium","Directorio","-","2022-04-30 18:39:28"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout 3\BethINI-Presets\medium\Fallout.ini","Archivo","367","2022-02-27 00:12:18"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout 3\BethINI-Presets\medium\FalloutPrefs.ini","Archivo","971","2022-02-24 00:02:50"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout 3\BethINI-Presets\poor","Directorio","-","2022-04-30 18:39:28"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout 3\BethINI-Presets\poor\Fallout.ini","Archivo","360","2022-02-27 00:12:32"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout 3\BethINI-Presets\poor\FalloutPrefs.ini","Archivo","960","2022-02-24 00:05:38"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout 3\BethINI-Presets\ultra","Directorio","-","2022-04-30 18:39:28"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout 3\BethINI-Presets\ultra\Fallout.ini","Archivo","369","2022-02-27 00:11:58"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout 3\BethINI-Presets\ultra\FalloutPrefs.ini","Archivo","1002","2022-02-26 23:54:22"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout 3\Default","Directorio","-","2022-04-30 18:39:28"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout 3\Default\FalloutPrefs.ini","Archivo","2515","2016-06-24 10:53:20"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout 3\Fallout.INI","Archivo","28894","2017-01-14 10:49:34"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout 3\FalloutPrefs.INI","Archivo","2515","2019-01-29 21:10:44"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout 3\Vanilla-Presets","Directorio","-","2022-04-30 18:39:28"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout 3\Vanilla-Presets\high","Directorio","-","2022-04-30 18:39:28"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout 3\Vanilla-Presets\high\Fallout.ini","Archivo","366","2022-02-27 00:11:34"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout 3\Vanilla-Presets\high\FalloutPrefs.ini","Archivo","995","2016-06-24 11:00:40"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout 3\Vanilla-Presets\low","Directorio","-","2022-04-30 18:39:28"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout 3\Vanilla-Presets\low\Fallout.ini","Archivo","366","2022-02-27 00:11:30"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout 3\Vanilla-Presets\low\FalloutPrefs.ini","Archivo","966","2016-06-24 11:00:50"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout 3\Vanilla-Presets\medium","Directorio","-","2022-04-30 18:39:28"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout 3\Vanilla-Presets\medium\Fallout.ini","Archivo","366","2022-02-27 00:11:28"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout 3\Vanilla-Presets\medium\FalloutPrefs.ini","Archivo","975","2016-06-24 11:01:00"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout 3\Vanilla-Presets\ultra","Directorio","-","2022-04-30 18:39:28"
